,,Speed__sum_values,Speed__median,Speed__mean,Speed__length,Speed__standard_deviation,Speed__variance,Speed__root_mean_square,Speed__maximum,Speed__absolute_maximum,Speed__minimum,Ax__sum_values,Ax__median,Ax__mean,Ax__length,Ax__standard_deviation,Ax__variance,Ax__root_mean_square,Ax__maximum,Ax__absolute_maximum,Ax__minimum,Ay__sum_values,Ay__median,Ay__mean,Ay__length,Ay__standard_deviation,Ay__variance,Ay__root_mean_square,Ay__maximum,Ay__absolute_maximum,Ay__minimum,Az__sum_values,Az__median,Az__mean,Az__length,Az__standard_deviation,Az__variance,Az__root_mean_square,Az__maximum,Az__absolute_maximum,Az__minimum,Gx__sum_values,Gx__median,Gx__mean,Gx__length,Gx__standard_deviation,Gx__variance,Gx__root_mean_square,Gx__maximum,Gx__absolute_maximum,Gx__minimum,Gy__sum_values,Gy__median,Gy__mean,Gy__length,Gy__standard_deviation,Gy__variance,Gy__root_mean_square,Gy__maximum,Gy__absolute_maximum,Gy__minimum,Gz__sum_values,Gz__median,Gz__mean,Gz__length,Gz__standard_deviation,Gz__variance,Gz__root_mean_square,Gz__maximum,Gz__absolute_maximum,Gz__minimum,Jerk_x__sum_values,Jerk_x__median,Jerk_x__mean,Jerk_x__length,Jerk_x__standard_deviation,Jerk_x__variance,Jerk_x__root_mean_square,Jerk_x__maximum,Jerk_x__absolute_maximum,Jerk_x__minimum,Jerk_y__sum_values,Jerk_y__median,Jerk_y__mean,Jerk_y__length,Jerk_y__standard_deviation,Jerk_y__variance,Jerk_y__root_mean_square,Jerk_y__maximum,Jerk_y__absolute_maximum,Jerk_y__minimum,Jerk_z__sum_values,Jerk_z__median,Jerk_z__mean,Jerk_z__length,Jerk_z__standard_deviation,Jerk_z__variance,Jerk_z__root_mean_square,Jerk_z__maximum,Jerk_z__absolute_maximum,Jerk_z__minimum,Speed_fft_area,Ax_fft_area,Ay_fft_area,Az_fft_area,Gx_fft_area,Gy_fft_area,Gz_fft_area,Jerk_x_fft_area,Jerk_y_fft_area,Jerk_z_fft_area,Ax_fft_area_lower,Ay_fft_area_lower,Az_fft_area_lower,Jerk_x_fft_area_lower,Ax_fft_area_upper,Ay_fft_area_upper,Az_fft_area_upper,Jerk_x_fft_area_upper
0,57.403846153846146,8766.24119773873,8.698470827360687,7.9693101797624815,1100.0,2.0415675354364873,4.167998001748213,8.226658054338598,9.575652640766801,9.575652640766801,2.2439060833115427e-12,32.79426923553136,-0.0012361348969166471,0.029812972032301235,1100.0,0.20859826846809254,0.04351323760788641,0.2107179415932236,0.6153060639326183,0.6153060639326183,-0.4065805600110347,-69.61105895103255,-0.06425338730642502,-0.06328278086457505,1100.0,0.19299661774406626,0.03724769446064923,0.20310688027391652,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-10341.947615457608,-9.850424669275075,-9.401770559506916,1100.0,2.06832575591554,4.27797143258359,9.626591353443573,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-1073.3534286045174,-0.7192014289775677,-0.9757758441859249,1100.0,2.567381819983285,6.591449409580684,2.7465592853017826,6.833937778638857,8.4144184388711,-8.4144184388711,2678.5230944253412,2.4186816386015852,2.4350209949321284,1100.0,1.0523041668592663,1.1073440595893747,2.652672483619044,5.072568635125187,5.072568635125187,-0.013867578534762557,-920.1360018757478,-0.812678849246346,-0.8364872744324979,1100.0,6.600558429897187,43.567371586486814,6.653351226770936,12.052544572432952,24.062910398839318,-24.062910398839318,0.9639558150435121,-8.310226952854762e-06,0.0008763234682213747,1100.0,0.009734083227104024,9.475237627218788e-05,0.00977344970279908,0.05242058795656061,0.05242058795656061,-0.02793822572643188,-0.016648498617145208,7.085194760551165e-09,-1.513499874285928e-05,1100.0,0.007810321276753095,6.100111844610209e-05,0.007810335941192866,0.02188275489012668,0.023289934160716053,-0.023289934160716053,0.16170755211376076,8.611100184585865e-05,0.00014700686555796431,1100.0,0.008721916555992556,7.607182840969704e-05,0.00872315535962866,0.029717394408333805,0.030472938758134376,-0.030472938758134376,24565.84005077294,1372.6772659849785,1313.8394252795863,29724.44375100351,18910.827943850294,10579.704148759942,48510.75154996388,94.21086296075296,48.90117667275599,68.0380704487475,1364.3856774600458,1302.258219817967,28411.984628862636,94.21086296075296,8.253409003074204,11.556676230206957,1307.038407543725,0.0
0,67.01923076923077,12820.397734139078,8.329859591683206,8.012748583836924,1600.0,1.702409101682944,2.8981967494929277,8.19160159048727,9.575652640766801,9.575652640766801,2.2439060833115427e-12,28.168084653051388,-0.006370415401467277,0.01760505290815712,1600.0,0.1908718164791514,0.03643205032605086,0.1916819976261461,0.6153060639326183,0.6153060639326183,-0.4065805600110347,-76.7172136613382,-0.04935101725597312,-0.047948258538336376,1600.0,0.18101623765821626,0.03276687829593583,0.18725894849858304,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-15274.816910707057,-9.843791132950987,-9.54676056919191,1600.0,1.734491970970433,3.0084623973608973,9.70304590130534,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-1601.2682615383947,-0.7563112429026917,-1.0007926634614968,1600.0,2.3327003239954083,5.441490801568284,2.5383216417165575,6.833937778638857,8.4144184388711,-8.4144184388711,3908.121385431692,2.426563390812699,2.4425758658948076,1600.0,0.9249291738337435,0.8554939766087714,2.611832850176393,5.072568635125187,5.072568635125187,-0.013867578534762557,-1339.4821823180628,-0.8339820018016528,-0.8371763639487892,1600.0,5.8825308367716715,34.60416904556963,5.941803876763701,12.052544572432952,24.062910398839318,-24.062910398839318,1.0206069459449711,5.797882784119963e-07,0.0006378793412156069,1600.0,0.00852120989948312,7.261101815104912e-05,0.008545051679480865,0.05242058795656061,0.05242058795656061,-0.02793822572643188,-0.07904130558532255,1.1354665221731923e-06,-4.940081599082659e-05,1600.0,0.007029381123223366,4.9412198975528986e-05,0.007029554709663304,0.02188275489012668,0.023289934160716053,-0.023289934160716053,0.5249828423512,0.0002236105174229772,0.00032811427646949997,1600.0,0.008396825403887826,7.050667686337594e-05,0.00840323365388581,0.029717394408333805,0.030472938758134376,-0.030472938758134376,37074.021088061105,2268.780196375064,2372.7623978357337,42500.933644368,28280.36005887358,16155.48337776154,78076.84070577726,110.72210332860809,80.08383986932205,109.79738055257852,2190.18673207523,2282.4660325855184,40723.00689143533,110.72210332860809,78.47468543213716,90.16232947430177,1772.8899721319158,0.0
0,76.63461538461539,16864.74477206088,8.299797623719305,8.030830843838514,2100.0,1.5110893059433987,2.2833908905365026,8.171758374602403,9.575652640766801,9.575652640766801,2.2439060833115427e-12,-13.058152548567751,-0.025172112089631472,-0.006218167880270358,2100.0,0.17852186997678307,0.03187005806000744,0.17863013091803598,0.6153060639326183,0.6153060639326183,-0.4065805600110347,-95.71666967362424,-0.044069649314712606,-0.045579366511249636,2100.0,0.17176212483948836,0.029502227529375986,0.17770679835319417,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-20222.158651311085,-9.853890386873779,-9.629599357767184,2100.0,1.5248944449317372,2.3253030681836706,9.749589061047335,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-2094.286633144279,-0.7818626267254153,-0.9972793491163234,2100.0,2.3366507804580814,5.459936869815362,2.5405713865170645,6.833937778638857,8.4144184388711,-8.4144184388711,5190.869784686465,2.4671419464474145,2.4718427546126023,2100.0,0.9107382193320683,0.8294441041521466,2.634283718144833,5.072568635125187,5.072568635125187,-0.3711916557710374,-1577.5233625472974,-0.507233788651376,-0.7512016012129987,2100.0,5.9843293038059455,35.81219721639055,6.031293481671699,12.052544572432952,24.062910398839318,-24.062910398839318,0.9279215384388296,1.5179385900887997e-08,0.00044186739925658556,2100.0,0.0075379072491431895,5.682004569668545e-05,0.007550847137587361,0.05242058795656061,0.05242058795656061,-0.02793822572643188,0.04467158534104729,9.809027140598263e-05,2.1272183495736803e-05,2100.0,0.0065621163040862785,4.3061370388354956e-05,0.006562150782643266,0.02188275489012668,0.023289934160716053,-0.023289934160716053,0.12133726645862014,2.1517182032201447e-10,5.777965069458102e-05,2100.0,0.00866903570544566,7.515218006229174e-05,0.008669228255751843,0.029717394408333805,0.030472938758134376,-0.030472938758134376,44991.05088565884,3133.6250557503495,3290.2375925603587,58303.85813610682,48911.07580864262,25319.62796673263,113814.85090989554,140.63823119894516,118.20610519089273,146.04490039018185,3061.548601110865,3219.47527719344,55767.58608958956,140.63823119894516,71.99396517129053,70.68223869685852,2530.804178851056,0.0
0,98.09615384615385,24375.88852682885,8.138088358404993,7.863189847364145,3100.0,1.38618416353901,1.921506535246345,7.984438684775337,9.791492913114153,9.791492913114153,2.2439060833115427e-12,-20.057644601888114,-0.025566383167113137,-0.00647020793609294,3100.0,0.17178073303468572,0.02950862024193397,0.17190254167018662,0.6153060639326183,0.6153060639326183,-0.4065805600110347,-39.00395887027248,-0.009304258659335606,-0.012581922216216929,3100.0,0.1658414912203565,0.02750340021019158,0.1663180837336894,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-30099.29425807656,-9.854734431964644,-9.709449760669857,3100.0,1.2635380126757192,1.5965283094765057,9.79131977643711,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-3079.6430679916048,-0.9078319363786196,-0.9934332477392274,3100.0,2.1935521585283535,4.811671072184399,2.408024229508106,6.833937778638857,8.4144184388711,-8.4144184388711,7870.81052698132,2.49408639106652,2.53897113773591,3100.0,1.1055907962151144,1.2223310086755705,2.769242756952079,6.8819142225055066,6.8819142225055066,-0.8352844697452885,-731.544487497965,-0.4119121752329292,-0.23598209274127901,3100.0,6.393895585497329,40.88190075824224,6.3982488468593335,19.258687232110365,24.062910398839318,-24.062910398839318,3.0883075689571866,5.481149274714342e-05,0.0009962282480507055,3100.0,0.010459616175002283,0.00010940357052836938,0.010506952043793842,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.48921635920341766,0.00019471931128347165,0.00015781172877529602,3100.0,0.006434680476659495,4.140511283670286e-05,0.006436615366669187,0.025378249802873627,0.025378249802873627,-0.023289934160716053,1.572773498836142,4.38858452102966e-05,0.0005073462899471426,3100.0,0.008998259419984807,8.09686725893453e-05,0.009012550851300004,0.05035541783220598,0.05035541783220598,-0.030472938758134376,74423.94736686058,5834.389298824683,5424.169772465996,84818.325831491,71856.0575165695,46341.772727290925,214461.73044356247,368.91366876947984,204.89309916718383,299.6703466456494,5664.393791263918,5356.863940395588,81262.41576139489,368.91366876947984,169.86356634749745,67.25410695848709,3550.7101610091636,0.0
0,107.71153846153848,28786.90948236223,8.298739080055334,7.996363745100619,3600.0,1.3392887755132652,1.7936944242158213,8.107744912623696,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-35.1953079162753,-0.024956260288403285,-0.009776474421187583,3600.0,0.1684652179272749,0.028380529651284223,0.16874865659729668,0.6153060639326183,0.6153060639326183,-0.4065805600110347,-28.895238107456848,-0.008935693970028413,-0.008026455029849125,3600.0,0.1611150765623639,0.02595806789569638,0.16131488423590232,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-35009.33013295603,-9.854394382688724,-9.724813925821119,3600.0,1.175642274843649,1.3821347583995498,9.795618441438187,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-3548.1278171117,-0.9375562707091182,-0.9855910603088056,3600.0,2.105935697567644,4.4349651622897195,2.325156962540455,6.833937778638857,8.4144184388711,-8.4144184388711,9129.000312167787,2.5058119485928927,2.5358334200466075,3600.0,1.1414609158980487,1.3029330225228122,2.780896286586051,6.8819142225055066,6.8819142225055066,-0.8352844697452885,-1090.7694075543739,-0.48050469616096203,-0.30299150209843717,3600.0,6.099333245595909,37.201866040831526,6.106854336823123,19.258687232110365,24.062910398839318,-24.062910398839318,3.0727326768885863,5.70063098597973e-05,0.0008535368546912739,3600.0,0.00980582284718916,9.615416171045692e-05,0.009842900328296187,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.5018483313472469,0.00014465543002298916,0.00013940231426312415,3600.0,0.006141179946145189,3.771409113093583e-05,0.006142761930610508,0.025378249802873627,0.025378249802873627,-0.023289934160716053,1.467911020888869,8.086915380528547e-05,0.00040775306135801915,3600.0,0.008838516767054216,7.811937864149853e-05,0.00884791733689603,0.05035541783220598,0.05035541783220598,-0.030472938758134376,90182.35874329621,6794.666194914085,6316.603654198165,99595.76486594908,87998.70161461463,61772.01249109548,245777.84144854825,423.08479777727257,244.1878487381499,384.3049139708823,6647.644066076775,6275.6135615753665,95370.30832040962,423.08479777727257,146.92310060906198,40.96275280281771,4220.139553554727,0.0
0,117.32692307692308,32892.19766090442,8.312229668855892,8.022487234366933,4100.0,1.2810937621949694,1.641201227534861,8.124130886015763,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-85.96474420560463,-0.02780596588423636,-0.020967010781854787,4100.0,0.1726741458945248,0.029816360660403628,0.17394245083225096,0.6153060639326183,0.6153060639326183,-0.46029113914632713,-26.42589594394454,-0.008795297278749982,-0.0064453404741328145,4100.0,0.15372279299222819,0.023630697085331435,0.15385785485037456,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-39962.17133970017,-9.859564397251557,-9.746871058463457,4100.0,1.1044265386370973,1.2197579792459199,9.80924326385876,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-4109.662318290413,-0.9228580899170946,-1.0023566629976617,4100.0,2.054862120960745,4.222458336159291,2.286302083281013,6.833937778638857,8.4144184388711,-8.4144184388711,10488.006606819743,2.5114686522922742,2.5580503919072544,4100.0,1.2258099787754522,1.5026101040654747,2.836588075770314,6.8819142225055066,6.8819142225055066,-0.8352844697452885,-1257.1242785655643,-0.37794622938216904,-0.3066156776989181,4100.0,5.941419507224692,35.3004657608301,5.949325922710981,19.258687232110365,24.062910398839318,-24.062910398839318,2.93826754950732,2.629984957872518e-07,0.0007166506218310537,4100.0,0.009254247507320153,8.564109692674125e-05,0.009281954807071198,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.5887614656959079,0.00014629983802216817,0.0001436003574868068,4100.0,0.005858081230751472,3.4317115706082685e-05,0.005859841019068096,0.025378249802873627,0.025378249802873627,-0.023289934160716053,1.529929281436405,0.00016421824206108352,0.00037315348327717195,4100.0,0.008448229215588757,7.137257687912743e-05,0.00845646618873447,0.05035541783220598,0.05035541783220598,-0.030472938758134376,88184.14205687493,8537.056717613075,7820.06959445487,113361.3827784631,109177.1557036782,86923.34878435958,283806.60532051127,496.06146572232205,275.4200745845952,460.98141189419516,8215.02399999198,7605.674859344306,108610.47494296567,496.06146572232205,321.8431590055044,214.2705394021189,4745.661514592361,0.0
0,126.94230769230772,36291.20257873687,8.170521880878628,7.889391864942798,4600.0,1.2950713650174357,1.6772098404881242,7.994980540258603,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-46.71235271862217,-0.023446300878610046,-0.010154859286656994,4600.0,0.1819419800447042,0.03310288410258754,0.18222514993743139,0.6309118392405534,0.6309118392405534,-0.46029113914632713,-38.28197550877789,-0.01045942396627577,-0.008322168588864759,4600.0,0.15084758121744177,0.022754992759152694,0.1510769712735008,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-44857.1686856899,-9.853706475792501,-9.751558409932588,4600.0,1.044222312184985,1.0904002372649562,9.807308074063544,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-4624.686621348811,-0.9725769702397606,-1.0053666568149588,4600.0,1.999876543554495,3.9995061894594737,2.2383628624722047,6.833937778638857,8.4144184388711,-8.4144184388711,11713.328520033941,2.5058119485928927,2.54637576522477,4600.0,1.5677627957887694,2.457880183859419,2.990302613713778,11.181040081025458,11.181040081025458,-4.527598978623604,-1869.8273877214856,-0.8118733488192429,-0.4064842147220621,4600.0,5.862505672797665,34.3689727635848,5.876580823948822,19.258687232110365,24.062910398839318,-24.062910398839318,3.0740621378888395,4.212687975768694e-05,0.0006682743778019216,4600.0,0.009228990006514661,8.517425654034749e-05,0.009253153364360393,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.4905828108292004,0.0001117282022927612,0.0001066484371367827,4600.0,0.005726298443454803,3.279049386351289e-05,0.005727291484869319,0.025378249802873627,0.025378249802873627,-0.023289934160716053,1.5329833416782412,0.00018395340243831392,0.000333257248190922,4600.0,0.008214830442002425,6.748343919084976e-05,0.008221587412678985,0.05035541783220598,0.05035541783220598,-0.030472938758134376,105343.4155355561,10658.883004888852,8781.13434045115,127098.5983232579,120181.88873452667,96533.05512931598,340027.1389140694,604.4561719393133,331.0054907139796,505.6453608942833,10458.999873025812,8689.6728889477,121778.24254340169,604.4561719393133,199.77679322868204,91.41392146993589,5315.1125128730255,0.0
0,136.55769230769232,39750.904836854315,8.041840901992577,7.794295066049866,5100.0,1.2664177113299984,1.6038138195703113,7.896508683983041,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-89.1325457819463,-0.023079959829642845,-0.01747696976116594,5100.0,0.18919017154491055,0.03579292100919269,0.18999569858611376,0.6309118392405534,0.8235323015251014,-0.8235323015251014,-73.33767030064772,-0.016509403095954757,-0.014379935353068179,5100.0,0.14847006299758594,0.02204335960650714,0.1491648153797187,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-49776.52051916419,-9.851183036856415,-9.760102062581213,5100.0,0.992729843085482,0.9855125413525256,9.810458950189567,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-5053.9358115789755,-0.9935199985640428,-0.990967806191956,5100.0,1.9903167080069557,3.9613605981716455,2.2233708172683526,6.833937778638857,8.4144184388711,-8.4144184388711,12965.554986136949,2.493042912115617,2.5422656835562645,5100.0,1.8494347839109855,3.4204090199398736,3.1438072182829013,13.04614376181673,13.04614376181673,-6.944576297222711,-2297.5740143573257,-0.7236110601146539,-0.45050470869751486,5100.0,5.784114596499115,33.455981665434116,5.801632197752005,19.258687232110365,24.062910398839318,-24.062910398839318,3.168973907886531,3.297969174969809e-05,0.0006213674329189277,5100.0,0.00908280146057405,8.249728237220612e-05,0.009104030967593333,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.5435733574817032,0.00011840759166038255,0.0001065830112709222,5100.0,0.005565258886650823,3.097210647544596e-05,0.005566279404929072,0.025378249802873627,0.025378249802873627,-0.023289934160716053,1.5591877732035255,0.00017335371746254722,0.000305723092785005,5100.0,0.0079405894151605,6.305296026015896e-05,0.007946472605478545,0.05035541783220598,0.05035541783220598,-0.030472938758134376,109078.99855431888,13816.307559157656,9984.162636744742,140717.1764700999,144395.7743076047,137704.3206248044,398302.74391646794,704.2451210119793,392.91429975171354,555.29796431151,13178.707364917638,9879.017261318382,134843.95530574315,704.2451210119793,637.2982638009626,105.09559173160179,5868.003138829842,0.0
0,169.34615384615384,47033.280569752445,7.963815992457476,7.710373863893843,6100.0,1.272369136101934,1.6189232185047817,7.814652157295425,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-138.03545000411307,-0.02280312718847259,-0.022628762295756243,6100.0,0.18846852785563953,0.035520385992071975,0.1898221453759013,0.6309118392405534,0.8235323015251014,-0.8235323015251014,-151.19718955265273,-0.02529002652495758,-0.024786424516828318,6100.0,0.1513595837124861,0.02290972358161708,0.15337565133340267,0.44460076668641424,0.5578457797996825,-0.5578457797996825,-59591.311626031675,-9.843864405633902,-9.769067479677323,6100.0,0.9094146889450218,0.8270350764689707,9.811305443158828,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-6218.232660273512,-1.0072675979626375,-1.0193824033235266,6100.0,1.9550053481809233,3.8220459114160135,2.2048098320766036,6.833937778638857,8.4144184388711,-8.4144184388711,15456.352998000115,2.5144239144207954,2.5338283603278877,6100.0,1.7866935669336637,3.192273902122138,3.1004128856853974,13.04614376181673,13.04614376181673,-6.944576297222711,-2004.9028627205255,-0.5506156122683687,-0.3286726004459878,6100.0,5.7648717886762135,33.23374673987489,5.774233491828921,19.258687232110365,24.062910398839318,-24.062910398839318,2.7323477405343604,-2.416503575238623e-05,0.0004479258591039935,6100.0,0.008450847184096492,7.141681812895162e-05,0.008462709714045832,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.6959596909082599,9.209013604978104e-05,0.00011409175260791146,6100.0,0.005542171064363596,3.0715660106669114e-05,0.005543345292752586,0.025378249802873627,0.025378249802873627,-0.023289934160716053,0.9766116143699901,4.070987554439948e-05,0.00016010026465081804,6100.0,0.007602118041503481,5.7792198716952715e-05,0.007603803706809769,0.05035541783220598,0.05035541783220598,-0.030472938758134376,139051.4673385218,16458.314673420566,13292.63641350072,169267.01199268532,176301.78899527935,180544.27167479525,494860.73002145276,811.7133797751732,503.0371474525463,755.7382502825982,16318.091938273265,13212.255855233452,162169.03290778992,811.7133797751732,140.16720444118195,80.348405002004,7092.703960094168,0.0
0,178.9615384615384,50344.9628161797,7.821112781224906,7.628024669118137,6600.0,1.2669731692458783,1.605221011588945,7.732527488749316,9.793698029504508,9.793698029504508,2.2439060833115427e-12,-135.18405366195478,-0.0188050796375513,-0.02048243237302345,6600.0,0.18225762796105482,0.03321784294999027,0.18340494264306442,0.6309118392405534,0.8235323015251014,-0.8235323015251014,-176.74015568210808,-0.02659365058497657,-0.026778811466986074,6600.0,0.15598669141161808,0.024331847897543363,0.15826860914637414,0.44460076668641424,0.6883258665579043,-0.6883258665579043,-64525.0869348416,-9.84539359152063,-9.776528323460848,6600.0,0.8761084095353996,0.7675659452586475,9.815705374790486,-4.647184920096666e-12,11.541587684344591,-11.541587684344591,-6703.377017153623,-1.0000990636805933,-1.0156631844172155,6600.0,2.000586783102239,4.002347476723364,2.243639717268324,6.833937778638857,8.952134469470645,-8.952134469470645,16696.68603960379,2.514022410182592,2.529800915091483,6600.0,1.7409204006410477,3.0308038413681864,3.070943912116581,13.04614376181673,13.04614376181673,-6.944576297222711,-2481.5783087408354,-0.5506156122683687,-0.3759967134455811,6600.0,5.729129136562577,32.82292066341025,5.741454013743568,19.258687232110365,24.062910398839318,-24.062910398839318,2.736142494359856,5.173004676616427e-06,0.00041456704459997813,6600.0,0.00815255428060297,6.646414129817781e-05,0.00816308808801217,0.09232383530601819,0.09232383530601819,-0.03702746902615908,0.7921351582294802,7.669687029998959e-05,0.00012002047851961821,6600.0,0.005830951587504885,3.3999996415825735e-05,0.005832186668059401,0.02559093175802856,0.02559093175802856,-0.023289934160716053,0.9582597483388277,8.415975356202421e-05,0.00014519087096042844,6600.0,0.007602539965187196,5.779861392226853e-05,0.007603926243150887,0.05035541783220598,0.05035541783220598,-0.030472938758134376,139530.54340902617,17904.26748091751,16064.987119478432,183737.13585250126,204766.11789351678,197357.71091735788,604312.9599149858,896.4773212772283,565.3235109430657,829.5427398415882,17734.402752948798,15684.924659578795,176025.01026085988,896.4773212772283,169.80200845184265,379.92484740713803,7706.830307993952,0.0
